date,down_hole_presure,down_hole_temperature,production_pipe_pressure,choke_size_pct,well_head_presure,well_head_temperature,choke_size_pressure,oil
13/07/2008,260.867,103.293,160.152,21.053,100.715,52.382,69.539,1735.26
14/07/2008,256.248,104.018,156.65,27.223,99.598,71.115,68.016,592.36
15/07/2008,254.983,103.967,156.333,27.278,98.65,67.591,66.949,2532.21
16/07/2008,251.476,104.211,155.817,30.651,95.659,73.782,63.664,3030.71
17/07/2008,249.346,104.339,155.761,32.563,93.585,78.035,61.338,3288.08
18/07/2008,251.502,104.334,155.279,30.052,96.223,75.75,64.305,2780.06
19/07/2008,251.509,104.354,155.36,30.084,96.149,75.335,64.164,2774.38
20/07/2008,251.458,104.378,155.352,30.118,96.106,75.617,64.128,2791.01
21/07/2008,251.724,104.399,155.234,29.831,96.49,76.078,64.56,2743.1
22/07/2008,251.858,104.407,155.172,29.748,96.686,77.017,64.77,2717.44
23/07/2008,251.915,104.43,155.182,29.668,96.734,77.137,64.775,2745.51
24/07/2008,251.851,104.441,155.193,29.786,96.658,76.883,64.949,2762.59
25/07/2008,251.87,104.459,155.582,29.722,96.288,71.983,64.82,2763.68
26/07/2008,251.855,104.472,155.417,29.787,96.437,73.848,64.94,2759.3
27/07/2008,251.915,104.469,155.416,29.783,96.499,74.985,65.006,2732.34
28/07/2008,251.951,104.496,155.368,29.807,96.583,75.898,65.069,2762.74
29/07/2008,252.589,104.497,155.282,28.814,97.307,75.369,65.835,2670.67
30/07/2008,246.954,104.611,157.469,35.302,89.486,77.973,57.458,3553.37
31/07/2008,247.192,104.67,157.411,35.465,89.781,77.685,57.77,3550.27
01/08/2008,250.435,104.621,155.986,32.309,94.45,76.96,62.753,3118.92
02/08/2008,250.541,104.62,160.501,30.761,90.04,74.146,59.902,3057.91
03/08/2008,250.443,104.629,156.152,32.197,94.291,75.897,63.265,3111.44
04/08/2008,250.179,104.558,155.993,32.186,94.186,76.065,62.485,3019.3
05/08/2008,250.292,104.644,156.185,32.309,94.106,75.514,62.394,3135.89
06/08/2008,251.121,104.63,156.136,29.153,94.985,77.05,63.305,911.43
08/08/2008,259.488,103.413,161.462,17.481,98.026,43.066,68.702,724.97
09/08/2008,247.845,104.611,157.202,34.384,90.643,76.168,58.424,3821.01
10/08/2008,244.981,104.701,157.209,36.27,87.773,78.811,55.201,4148.94
11/08/2008,244.312,104.716,156.917,36.243,87.395,79.229,54.723,4118.03
12/08/2008,244.052,104.717,156.772,36.02,87.281,77.396,54.619,4126.78
13/08/2008,243.907,104.711,156.307,35.575,87.599,77.916,55.024,3941.15
14/08/2008,244.31,104.685,156.2,34.364,88.11,77.269,55.653,3676.28
15/08/2008,244.306,104.693,155.468,34.165,88.838,78.998,56.165,3603.11
16/08/2008,242.792,104.701,155.86,35.469,86.932,75.759,54.478,3578.92
17/08/2008,241.218,104.708,155.74,36.304,85.478,77.232,52.842,3723.19
18/08/2008,240.453,104.708,155.209,36.169,85.244,79.482,52.67,3666.19
19/08/2008,239.369,104.708,154.996,36.475,84.373,80.007,51.782,3719.87
20/08/2008,238.403,104.716,154.734,36.583,83.668,80.074,51.031,4032.64
21/08/2008,237.672,104.728,154.697,36.324,82.975,78.764,50.387,2911.25
22/08/2008,255.611,100.776,255.611,35.124,0.0,26.44,0.022,2767.523
23/08/2008,256.769,99.632,256.749,33.925,0.021,17.538,0.004,2623.796
24/08/2008,257.789,99.116,257.789,32.725,0.001,15.086,0.024,2480.069
25/08/2008,258.763,98.786,258.763,31.525,0.004,15.512,0.03,2336.342
26/08/2008,259.726,98.553,259.726,30.326,0.008,16.122,0.042,2192.615
27/08/2008,260.339,98.355,260.328,29.126,0.011,15.681,0.029,2048.888
28/08/2008,260.32,98.178,224.465,27.927,35.856,22.396,35.827,1905.161
29/08/2008,260.273,98.053,160.482,26.727,99.791,19.003,99.756,1761.434
30/08/2008,260.24,97.959,172.766,25.528,87.474,15.701,87.384,1617.707
31/08/2008,252.346,104.092,156.706,24.328,95.64,58.451,63.534,1473.98
01/09/2008,260.716,99.511,159.046,25.277,101.67,18.113,69.97,1409.71
02/09/2008,252.326,104.235,156.29,26.226,96.036,63.574,63.784,1345.44
03/09/2008,252.193,104.541,154.878,26.846,97.316,71.788,65.015,2164.78
04/09/2008,252.293,104.58,154.812,27.028,97.481,73.262,65.056,2186.74
05/09/2008,252.369,104.605,155.208,27.189,97.161,70.383,64.947,2230.26
06/09/2008,252.796,104.615,155.241,26.67,97.555,72.053,65.124,1442.19
07/09/2008,262.174,100.363,261.857,26.366,0.317,21.409,0.292,1585.995
08/09/2008,252.92,104.349,156.048,26.062,96.873,67.99,64.602,1729.8
09/09/2008,252.37,104.614,155.039,27.525,97.331,72.459,65.488,2272.65
10/09/2008,241.049,104.808,158.852,39.69,82.197,77.586,49.073,4378.15
11/09/2008,237.059,104.879,160.05,42.015,77.008,75.619,43.636,4813.99
12/09/2008,235.646,104.907,159.427,42.046,76.218,75.814,42.896,4789.59
13/09/2008,233.44,104.919,159.182,44.175,74.258,76.999,40.874,4925.62
14/09/2008,231.425,104.937,158.708,44.796,72.717,78.375,39.331,4963.82
15/09/2008,229.797,104.954,158.086,45.066,71.711,79.337,38.339,4970.38
16/09/2008,227.754,104.957,157.473,45.631,70.281,79.974,36.897,4982.77
17/09/2008,225.018,104.965,156.716,46.475,68.302,80.2,34.906,5003.65
18/09/2008,230.301,104.866,153.913,37.452,76.388,75.566,43.623,3949.42
19/09/2008,227.719,104.877,153.662,39.334,74.057,77.587,41.135,4169.6
20/09/2008,216.817,104.989,156.297,52.352,60.52,80.738,26.968,5353.53
21/09/2008,220.149,104.917,154.839,45.469,65.31,75.371,31.796,4520.52
22/09/2008,217.294,104.955,154.501,47.816,62.792,78.299,30.065,4689.72
23/09/2008,213.475,105.006,154.549,52.37,58.926,79.343,25.556,5290.92
24/09/2008,211.802,105.021,153.946,53.29,57.855,80.584,24.487,5336.6
25/09/2008,212.718,105.003,152.563,50.206,60.155,80.221,26.959,4880.31
26/09/2008,209.007,105.025,153.315,55.55,55.692,80.319,22.278,5453.84
27/09/2008,211.5,105.01,152.559,51.465,58.941,77.152,25.777,4902.39
28/09/2008,209.36,105.027,152.612,53.96,56.748,78.514,23.476,5156.66
29/09/2008,207.532,105.032,152.633,55.81,54.899,78.697,21.531,5410.73
30/09/2008,214.276,104.889,152.422,44.256,61.854,72.755,29.137,3282.19
01/10/2008,207.694,105.03,151.937,54.301,55.757,79.983,22.456,5319.83
02/10/2008,207.085,105.031,151.552,54.209,55.532,79.6,22.263,5569.54
03/10/2008,206.512,105.03,151.25,54.301,55.263,78.578,22.027,5281.92
04/10/2008,207.673,105.019,150.346,51.403,57.327,78.234,24.136,4954.21
05/10/2008,205.596,105.025,150.813,54.753,54.783,78.942,21.452,5419.56
06/10/2008,215.263,104.938,148.705,38.503,66.558,74.519,34.418,3485.34
07/10/2008,212.017,104.979,148.499,43.305,63.517,75.382,30.846,4222.5
08/10/2008,211.897,104.982,148.26,43.266,63.637,78.194,30.975,4208.55
09/10/2008,211.818,104.981,148.182,43.296,63.636,78.623,30.988,4201.86
10/10/2008,211.814,104.986,148.185,43.256,63.629,77.768,30.975,4206.55
11/10/2008,211.866,104.989,148.175,43.319,63.692,77.896,30.998,4231.88
12/10/2008,212.111,104.995,148.184,42.796,63.927,78.423,31.319,4195.09
13/10/2008,211.938,104.991,148.175,42.804,63.762,76.868,31.153,4208.9
14/10/2008,212.023,104.996,148.087,42.808,63.935,78.239,31.328,4210.83
15/10/2008,212.144,104.994,147.973,42.67,64.171,78.687,31.57,4187.33
16/10/2008,211.969,104.992,147.868,42.728,64.101,78.523,31.488,4194.08
17/10/2008,211.836,104.991,147.799,42.756,64.037,78.815,31.427,4206.38
18/10/2008,209.825,105.034,149.011,46.566,60.814,78.674,27.907,4753.55
19/10/2008,210.606,105.053,149.063,45.429,61.542,78.503,28.724,4440.16
20/10/2008,211.097,105.065,149.233,45.286,61.865,77.78,29.039,4429.04
21/10/2008,211.643,105.083,149.494,45.268,62.15,77.973,29.321,4435.34
22/10/2008,212.131,105.098,149.656,45.253,62.475,78.407,29.651,4613.81
23/10/2008,211.751,105.094,149.68,45.78,62.07,77.407,29.245,4652.96
24/10/2008,211.579,105.103,149.81,45.95,61.769,77.642,28.953,4675.7
25/10/2008,212.555,105.109,149.76,45.003,62.794,77.134,30.056,4633.71
26/10/2008,214.028,105.11,149.515,43.487,64.512,78.139,31.849,4608.81
27/10/2008,214.207,105.102,149.362,43.707,64.845,78.521,32.126,4429.46
28/10/2008,209.145,105.145,151.724,52.525,57.421,78.953,24.18,5123.01
